#name	name2
XM_008758754.2	LOC292543
XM_006228022.3	LOC292543
XM_017589927.1	LOC103691005
XM_017589929.1	LOC103691005
XM_017589926.1	LOC103691005
XM_017589928.1	LOC103691005
NM_001099488.1	Vom2r12
NM_001107477.2	Zfp329
XM_006228140.3	LOC691722
XM_006228141.3	LOC691722
XM_008758878.2	LOC103691020
XM_008758862.2	LOC103690016
XM_008758864.2	LOC103690016
NM_001106220.1	Nlrp4a
XM_008758899.2	Nlrp4a
XR_590065.2	LOC102547517
XR_590064.2	LOC102547517
NM_001108465.1	Usp29
XM_006228184.3	Usp29
XM_006228185.3	Usp29
XR_001835666.1	LOC102547903
XM_006228207.2	Zfp28
XM_006228206.3	Zfp28
XM_008759007.2	Zfp28
XM_017589956.1	Zfp28
XM_006228205.3	Zfp28
XM_006228208.3	Zfp28
XM_017589957.1	Zfp28
XM_017589954.1	Zfp28
XM_006228193.3	Zfp787
XM_017589467.1	Zfp787
XM_006228200.3	Nlrp4
NM_001172164.2	Nlrp4
XM_006228201.3	Nlrp4
XM_003748766.4	LOC684792
XM_006228249.2	Hspbp1
XM_006228248.1	Hspbp1
XM_006228250.3	Hspbp1
NM_139261.1	Hspbp1
XM_017588635.1	Dnaaf3
XM_008758882.2	Dnaaf3
NM_001271115.1	Dnaaf3
XM_008759019.2	Gp6
XM_008758988.2	Lilra5
XM_008758989.2	Lilra5
XM_008758990.2	Lilra5
XM_017589623.1	Lair1
XM_008758974.2	Lair1
XM_008759094.1	LOC100911727
XR_590061.2	Lig1
XR_590060.2	Lig1
NM_001024268.2	Lig1
XM_017589987.1	Bsph1
XM_008759026.2	LOC100360574
XR_590078.2	LOC102549530
NM_001025131.1	Sult2a2
XR_001835675.1	LOC100363107
XR_001835674.1	LOC102551279
NM_001024897.1	Ehd2
XM_008759028.2	Zfp541
XM_003748775.4	Zfp541
XM_006228357.3	Zfp541
XM_008759029.2	Zfp541
XM_008759027.2	Zfp541
XM_017589992.1	Zfp541
XM_006228486.3	Zc3h4
XM_006228484.3	Zc3h4
XM_006228485.3	Zc3h4
XM_006228483.2	Zc3h4
XM_006228487.2	Zc3h4
XM_001053214.4	Zc3h4
XM_006228491.2	Zc3h4
XM_006228489.1	Zc3h4
XM_008759031.2	Zc3h4
XM_006228488.3	Zc3h4
XM_006228493.1	Zc3h4
XM_006228482.1	Zc3h4
NM_001271132.1	Arhgap35
XM_006228412.3	Arhgap35
XM_008758919.1	Arhgap35
NM_001013895.1	Prkd2
NM_012525.1	Cgm4
XM_006228530.1	LOC102550682
XM_008758908.2	Sympk
NM_001100830.1	Sympk
NM_001256509.1	Fosb
NM_001191071.1	Mark4
XM_006228472.3	Mark4
XM_017589704.1	Mark4
XM_008758981.2	Mark4
NM_001109170.1	Gemin7
XM_006228461.3	Gemin7
XM_006228460.2	Gemin7
XM_017589594.1	Gemin7
XM_017590006.1	Apoc1
XM_017590435.1	LOC108349754
XM_006228450.3	Smg9
NM_001014243.1	Smg9
NM_031508.2	Grik5
XM_006228382.3	Grik5
XM_008758889.2	Grik5
XM_002728703.4	Tmem145
XR_001835694.1	LOC102549342
NM_012782.1	Bckdha
XM_017588814.1	Bckdha
NM_031794.1	Axl
NM_001013147.1	Axl
NM_001191948.1	Cd177
XM_006228547.3	Cd177
XM_008758969.2	Cd177
NM_173294.2	Cyp2b3
NM_012693.1	Cyp2a2
XR_001835699.1	RGD1560854
XR_001835698.1	RGD1560854
NM_001170336.1	Ltbp4
XM_008759116.2	Ltbp4
XM_017588897.1	Ltbp4
XM_008759109.2	Akt2
XM_008759209.2	LOC100909824
XM_006228590.3	LOC100909824
NM_001164656.1	Fcgbpl1
NM_001106238.1	Pak4
XM_008759119.2	Pak4
XM_008759143.2	Samd4b
XM_017589124.1	Samd4b
NM_001107497.2	Supt5h
NM_001099469.1	Vom2r10
XM_017590557.1	Vom2r7
NM_001013066.1	Sipa1l3
XM_017588911.1	Sipa1l3
XM_008759130.2	Sipa1l3
XM_008759131.2	Sipa1l3
XM_017588912.1	Sipa1l3
XM_017590441.1	LOC102547413
XM_006228711.3	LOC103690038
XM_008759122.2	Map4k1
XM_006228716.3	Map4k1
NM_001106243.1	Map4k1
XM_006228747.3	LOC103690163
XM_006228749.3	LOC103690163
XM_006228748.3	LOC103690163
XM_006228751.3	LOC103690163
XM_006228750.3	LOC103690163
NM_001127579.1	Proser3
XM_008759167.2	Proser3
XM_008759168.2	Proser3
XM_006228773.1	Proser3
XM_006228772.1	Proser3
XM_006228774.3	Proser3
XM_006228844.3	Lsr
